RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,twoP_O,twoP_D,threeP_O,threeP_D,ADJ_T,WAB
119,Washington St.,P12,32,16,102.2,97.4,0.6355,45.8,49.9,17.2,20.9,27.8,26,30.7,32.3,45.5,51.2,30.9,31.5,70.6,-5.7
120,Missouri St.,MVC,33,16,104.7,99.8,0.6348,49.8,49.6,19.7,18.2,31.9,22.7,28.7,33.2,48.1,49,35.4,33.8,68,-9
121,Northeastern,CAA,33,17,105.9,101.2,0.6272,54.8,51.7,17.9,19.8,24.4,24.2,25.6,30.6,54.3,53.2,37.1,32.9,66,-10.7
122,Wright St.,Horz,30,25,105,100.4,0.6245,51,46.5,16.6,18.9,31.9,29.4,37.8,27.1,49.9,47.3,35.5,30,72,-3.6
123,Pittsburgh,ACC,33,16,103.2,98.8,0.6225,45.1,49.8,18.4,23.3,32.8,34.5,35.1,26,45.5,49,29.6,33.9,65.3,-4.8
124,St. Bonaventure,A10,30,19,106.6,102.2,0.6205,49.1,49.3,17.4,17.7,30.9,26.6,27.2,33,48.1,49.3,34.1,32.8,65.6,-4.5
125,Murray St.,OVC,30,23,102.5,98.3,0.6187,52.7,46.4,19.9,18.5,28.9,24.8,40.1,32.2,51.6,46.3,36.7,31,68.7,-4.8
126,North Dakota St.,Sum,31,25,106,101.6,0.6184,51.9,49.2,14.7,14.6,22.4,19,33.3,26.6,51.2,49.3,35.2,32.7,65.9,-3.1
127,Pepperdine,WCC,32,16,107.7,103.4,0.6163,50,52.8,17.4,19,26.9,27.8,33,34.7,48.4,50.3,35.1,38.1,70.9,-6.2
128,Temple,Amer,31,14,99.7,95.7,0.6138,46,46.4,18.1,18.5,25.9,26.7,33.3,29.5,44.7,46.3,32.2,31,70.2,-6.5
129,Texas A&M,SEC,30,16,101.2,97.4,0.6083,46.4,49.2,21.3,22.4,31.3,31.8,41.1,26,48,49.2,29.4,32.7,64.4,-3.9
130,Kent St.,MAC,30,20,105.9,102,0.6079,52.3,48,18.4,19.4,30,30.4,28.9,34.4,53.4,46.7,33.7,33.5,68.7,-5.6
131,Georgia St.,SB,30,19,105.2,101.4,0.6036,50.3,46.9,18.9,20.8,30.9,32.9,31.3,47,48.3,48,35.8,29.9,72.9,-6.6
132,Penn,Ivy,26,16,103.4,99.8,0.6003,52.3,47.6,17.3,16.7,22.8,28.4,24.6,25,55,45.9,32.6,34.3,70.1,-4.5
133,South Dakota St.,Sum,30,22,108.3,104.8,0.5939,55.8,48.1,18.4,15.3,28.2,27.1,32.3,26,57.4,49.2,35.4,30.7,68,-4.6
134,Abilene Christian,Slnd,27,20,100.8,97.9,0.5837,49.6,50.4,20.6,26.1,28.8,29.5,41.1,48.9,51,52.3,31.5,30.9,68.2,-6.5
135,UT Arlington,SB,30,14,101.4,98.6,0.5794,47.3,46.9,16.2,17.5,26.5,29,29,35.8,48.5,48.2,30.4,29.6,67.7,-10.3
136,Santa Clara,WCC,31,19,102.8,100.1,0.578,52.2,48.7,18.7,18.9,20.8,26.5,35.9,37.8,52.1,47.2,34.9,34.5,71.5,-5.2
137,Colgate,Pat,33,25,106.2,103.4,0.5762,52.8,49.8,15.7,17.3,27.9,26.3,24.9,23.8,52.1,51.4,35.7,31.4,68.3,-3.9
138,Little Rock,SB,30,21,105.6,102.9,0.5745,52.8,49,22.1,19.6,30.1,28.7,45.3,34.4,52.9,47.3,35.1,34.5,69.1,-3.7
139,Chattanooga,SC,31,20,106.8,104.1,0.5718,52.5,51.1,17.5,16.9,25.9,24.6,29.2,27.3,51.8,52.7,35.7,32.2,66.9,-6.4
140,Princeton,Ivy,26,14,106.7,104.1,0.5717,53.6,52.3,18.3,17.2,24.6,24,27.8,26.5,53.8,51.9,35.5,35.4,66.2,-7.4
141,Montana,BSky,29,18,102.5,100,0.5709,52.3,48.7,16.9,20.5,20.1,25.4,26.1,46.3,51.4,48,36.4,33.6,68.2,-6.8
142,FIU,CUSA,29,19,103.8,101.3,0.5685,51.7,47.9,20.4,21.3,30.2,35.5,29.3,30.5,52.1,50.6,34.1,28.6,72.2,-6.2
143,California,P12,32,14,101.7,99.4,0.5646,46.9,49.9,19.2,17.3,25.1,26.3,36,37,45.5,47,33.5,36.3,65,-6.1
144,Siena,MAAC,30,20,107.1,104.7,0.5636,51.8,48.4,19.2,17.2,31.9,26,36.3,26.9,51,48.7,35.5,31.8,66.8,-5.8
145,Buffalo,MAC,31,20,104.1,101.8,0.5635,48.8,48.9,18.4,19,34.7,28.8,27.4,30.4,49.8,49.8,31.5,31.3,73.9,-5.7
146,Marshall,CUSA,31,17,100.9,98.8,0.5603,50.2,46.3,19.3,20,27.9,32.1,28.6,37.6,51.9,44.3,31.7,33.6,74.8,-8.3
