RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,twoP_O,twoP_D,threeP_O,threeP_D,ADJ_T,WAB
62,Tennessee,SEC,31,17,107.3,95.5,0.7914,48.8,45.9,20.5,19.6,30.5,30.1,37.3,35.3,49.9,44,31.3,33.1,65.1,-2.1
63,Memphis,Amer,31,21,100.2,89.2,0.7909,49.7,41.2,22.3,20.2,30,29.4,39.9,35,50,40.7,32.9,28,73,0
64,Northern Iowa,MVC,29,25,111.8,99.8,0.7871,54.8,48.5,18.6,15.6,28.9,22.5,27.6,25.8,52.6,47.2,38.6,33.7,65.7,0.9
65,San Francisco,WCC,33,22,108.1,97,0.778,51.3,50.2,17.3,18.5,29,24.1,29.4,31.9,52.2,47.7,33.5,37.6,68.8,-2.4
66,VCU,A10,31,18,104.8,94.1,0.7763,49.7,48.1,17.8,24.5,27.5,30.1,33,35.9,48.4,46.8,34.6,33.7,69.2,-3.6
67,Texas,B12,31,19,103.3,92.7,0.7761,49.9,46.9,20.5,20.8,26.7,32.2,22,35.3,49.7,46.3,33.5,32.2,65.9,1
68,Davidson,A10,30,16,113.1,101.7,0.7726,53.4,49.4,16.5,17.2,24.6,24.8,31.5,32.7,52,49.1,36.8,33.2,64.6,-5
69,North Texas,CUSA,29,20,111.6,100.3,0.7717,55.3,49.8,20.6,20.7,29.3,27.7,29.4,38.8,54.6,47.8,37.5,35.5,63,-3.5
70,UCLA,P12,30,19,109.6,98.6,0.7717,48.4,50.9,19.5,19.4,34.5,25.4,37.6,35.2,48.4,46.9,32.2,38.3,64.9,-1
71,Clemson,ACC,31,16,103.8,93.5,0.7706,50.1,48.3,18.5,20,23.3,24.5,28.9,28.7,52.6,47.9,31.5,32.6,66,-3.3
72,Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699,53.3,47.2,18.5,20.7,30.2,26.8,29.3,32.6,53.3,47.4,35.5,31.3,66.4,-1.7
73,Rhode Island,A10,30,21,104.7,94.4,0.7664,46.9,47.4,16.4,20.9,30.4,28.6,37.1,28.5,46.7,49.1,31.5,29.7,71.2,0.5
74,Yale,Ivy,28,23,107.8,97.8,0.7551,53.8,46.5,18.5,16.6,25.8,21.3,31.2,25.7,52.7,46.9,36.9,30.6,67.3,-0.3
75,Tulsa,Amer,31,21,102.2,92.7,0.7533,49.6,46.7,19.7,21.5,26.3,28,39.8,28.3,50.3,48.2,32.2,29.9,65.8,-1
76,East Tennessee St.,SC,31,30,107.1,97.4,0.7505,53.5,49.8,18.2,22.4,31.8,26.2,36.9,33.1,55.2,51.1,33.9,31.7,66,2.5
77,Georgetown,BE,32,15,110.2,100.1,0.7505,49.1,50.8,18.9,18.8,32.5,28.7,33.9,26.6,47.8,48.1,34.6,36.4,70.1,-2.7
78,North Carolina,ACC,33,14,108.2,98.3,0.7498,46.4,49.1,18.1,16,35.3,24.2,33.5,29.2,46.8,48.2,30.4,33.6,70.3,-5
79,Liberty,ASun,32,30,105.6,96,0.7495,54.4,45.6,15.2,19.4,23.9,21.3,32,28.6,55.7,45.9,35,30,61.3,-0.3
80,Nevada,MWC,31,19,110.1,100.2,0.7476,52.9,47,16.7,15.2,25.2,24.4,28.3,36.5,49.5,48.8,38.3,29.8,71.1,-3.7
81,Texas St.,SB,30,21,106.7,97.3,0.7425,48.9,46.9,16.6,21.2,29.6,29.8,35.2,39,49.4,46.2,31.8,32.1,65.2,-4.8
